Carimbo de data/hora,1. Clareza nas definições dos objetivos propostos.,2. Compatibilidade dos objetivos com as necessidades de treinamento.,3. Qualidade e organização do conteúdo (material de apoio) disponibilizado.,"4.  Uso de estratégias e recursos instrucionais (vídeos, recursos visuais, conteúdo interativo etc.) que favoreçam a fixação dos conteúdos.",5. Facilidade de acesso e navegação nos conteúdos e atividades.,6. Ambiente virtual de aprendizagem adequado.,7. Satisfação geral em relação ao curso.,1. Adquiri novos conceitos e ideias.,2. Procurei aprimorar meus conhecimentos a partir dos conteúdos disponíveis.,3. As informações recebidas ajudarão no meu desenvolvimento profissional.,1. Suporte ao acesso e navegação no curso,2. Clareza nas informações e orientações sobre as atividades a serem desenvolvidas,3. Resolução das dificuldades apresentadas durante a capacitação,
2024/11/08 1:36:59 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/11/25 3:07:04 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/11/26 12:00:49 PM GMT-3,4,4,4,4,4,4,4,4,4,4,4,4,4,
2024/12/02 5:03:52 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,Tudo ótimo.
2024/12/02 6:25:57 PM GMT-3,4,4,3,4,4,4,4,4,4,5,3,4,4,
2024/12/02 6:47:06 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/03 7:51:07 AM GMT-3,4,4,4,4,4,4,4,4,4,4,4,4,4,
2024/12/03 2:49:34 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,Ótimo curso.
2024/12/03 4:47:56 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/03 5:27:49 PM GMT-3,4,3,4,4,5,5,3,3,3,3,4,4,4,
2024/12/03 5:55:30 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/04 12:45:05 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/04 2:44:07 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/04 2:53:18 PM GMT-3,4,4,4,5,5,5,5,5,5,5,3,3,3,Treinamento oportuno
2024/12/04 4:13:39 PM GMT-3,4,4,4,4,4,4,3,4,4,4,4,4,4,
2024/12/04 4:40:43 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/04 5:41:18 PM GMT-3,4,4,4,4,4,4,4,4,4,4,4,4,4,Nada a acrescentar
2024/12/04 5:58:18 PM GMT-3,4,5,5,5,5,5,5,5,5,4,5,4,5,
2024/12/04 8:19:40 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/05 9:37:37 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/05 10:28:20 AM GMT-3,3,3,3,3,3,3,3,5,3,5,5,5,5,
2024/12/05 10:49:12 AM GMT-3,5,5,5,5,5,5,5,4,4,5,5,5,5,
2024/12/05 12:15:07 PM GMT-3,4,4,4,5,5,4,4,4,4,4,4,4,4,
2024/12/05 1:07:14 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/05 2:31:46 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/05 5:10:42 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,Curso ótimo!
2024/12/05 5:40:03 PM GMT-3,5,5,5,4,4,5,5,4,4,4,5,5,5,SERIA MELHOR SE FOSSE REALIZADO EM MOMENTO MAIS OPORTUNO
2024/12/05 7:35:03 PM GMT-3,5,5,5,5,5,5,5,4,4,4,5,5,5,
2024/12/06 8:59:36 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/06 11:26:58 AM GMT-3,5,5,5,4,4,5,5,5,4,5,4,4,5,
2024/12/06 3:55:41 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/06 6:23:59 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/06 7:00:19 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/07 10:30:32 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/07 2:20:02 PM GMT-3,5,5,5,4,5,4,5,4,4,4,4,4,4,
2024/12/07 4:21:01 PM GMT-3,5,5,5,5,5,5,5,5,5,3,5,5,5,um curso presencial ajudaria a sedimentar melhor os conhecimentos adquiridos
2024/12/07 7:09:53 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/09 8:54:16 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/09 9:52:26 AM GMT-3,5,5,5,5,4,5,5,5,5,5,5,5,5,
